station_name,count,loc
Seaport Square - Seaport Blvd. at Boston Wharf,23,Boston
TD Garden - Causeway at Portal Park #2,130,Boston
B.U. Central - 725 Comm. Ave.,41,Boston
Charlestown - Warren St at Chelsea St,51,Boston
Harvard Square at Mass Ave/ Dunster,136,Cambridge
Faneuil Hall - Union St. at North St.,70,Boston
MIT at Mass Ave / Amherst St,181,Cambridge
Boston Public Library - 700 Boylston St.,127,Boston
Kenmore Sq / Comm Ave,134,Boston
One Broadway / Kendall Sq at Main St / 3rd St,76,Cambridge
Harvard University Housing - 115 Putnam Ave at Peabody Terrace,37,Cambridge
Prudential Center / Belvidere,76,Boston
Washington St. at Waltham St.,84,Boston
Yawkey Way at Boylston St.,57,Boston
Tremont St / West St,78,Boston
Boylston / Mass Ave,85,Boston
Lafayette Square at Mass Ave / Main St / Columbia St,80,Cambridge
Tremont St. at Berkeley St.,80,Boston
Beacon St / Mass Ave,159,Boston
Back Bay / South End Station,86,Boston
Harvard Kennedy School at Bennett St / Eliot St,85,Cambridge
Newbury St / Hereford St,75,Boston
South Station - 700 Atlantic Ave.,102,Boston
Brigham Cir / Huntington Ave,19,Boston
Lower Cambridgeport at Magazine St/Riverside Rd,49,Cambridge
Harvard University River Houses / Plympton St at Memorial Drive,110,Cambridge
Harvard University Radcliffe Quadrangle at Shepard St / Garden St,26,Cambridge
Chinatown Gate Plaza - Surface Rd. at Beach St.,48,Boston
Landmark Centre,61,Boston
Agganis Arena - 925 Comm Ave.,73,Boston
Lewis Wharf - Atlantic Ave.,78,Boston
Boston Medical Center -  East Concord at Harrison Ave,22,Boston
Columbus Ave. at Mass. Ave.,51,Boston
Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,58,Cambridge
Boylston St / Berkeley St,50,Boston
Cross St. at Hanover St.,80,Boston
Dorchester Ave. at Gillette Park,20,Boston
MIT Stata Center at Vassar St / Main St,50,Cambridge
Brookline Village - Station Street @ MBTA,21,Brookline
Ruggles Station / Columbus Ave.,26,Boston
Cambridge Main Library at Broadway / Trowbridge St,28,Cambridge
The Esplanade - Beacon St. at Arlington St.,75,Boston
Buswell Park,38,Boston
Charlestown - Main St at Austin St,24,Boston
Harvard Real Estate - 219 Western Ave. at North Harvard St.,41,Boston
Seaport Hotel,33,Boston
Stuart St. at Charles St.,38,Boston
Post Office Square,30,Boston
Christian Science Plaza,91,Boston
Spaulding Rehabilitation Hospital - Charlestown Navy Yard,8,Boston
Boylston St. at Arlington St.,90,Boston
Mayor Thomas M. Menino - Government Center,55,Boston
Central Square at Mass Ave / Essex St,73,Cambridge
Wilson Square,15,Somerville
Aquarium Station - 200 Atlantic Ave.,54,Boston
Boylston at Fairfield,97,Boston
Inman Square at Vellucci Plaza / Hampshire St,49,Cambridge
Roxbury Crossing Station,30,Boston
Coolidge Corner - Beacon St @ Centre St,42,Brookline
Franklin St. / Arch St.,36,Boston
Davis Square,36,Somerville
Cambridge St - at Columbia St / Webster Ave,18,Cambridge
Allston Green District - Commonwealth Ave & Griggs St,33,Boston
Northeastern U / North Parking Lot,39,Boston
Charles Circle - Charles St. at Cambridge St.,101,Boston
Colleges of the Fenway,30,Boston
Harvard University Housing - 111 Western Ave. at Soldiers Field Park,50,Boston
Beacon St at Washington / Kirkland,19,Somerville
Cambridge St. at Joy St.,58,Boston
Congress / Sleeper,27,Boston
CambridgeSide Galleria - CambridgeSide PL at Land Blvd,37,Cambridge
Washington St. at Rutland St.,69,Boston
Somerville City Hall,12,Somerville
Union Square - Somerville,23,Somerville
Longwood Ave/Riverway,4,Boston
Union Square - Brighton Ave. at Cambridge St.,20,Boston
Innovation Lab - 125 Western Ave. at Batten Way,12,Boston
HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,27,Boston
Packard's Corner - Comm. Ave. at Brighton Ave.,51,Boston
Overland St at Brookline Ave,44,Boston
Harvard Law School at Mass Ave / Jarvis St,30,Cambridge
New Balance - Guest St. at Life St.,5,Boston
Boston Convention & Exhibition Center,26,Boston
One Kendall Square at Hampshire St / Portland St,56,Cambridge
Conway Park - Somerville Avenue,9,Somerville
Lechmere Station at Cambridge St / First St,31,Cambridge
Tremont St / W Newton St,49,Boston
Harvard Real Estate - Brighton Mills - 370 Western Ave,14,Boston
Powder House Circle,9,Somerville
Washington Square at Washington St. / Beacon St.,15,Brookline
Fan Pier,12,Boston
Harvard Square at Brattle St / Eliot St,49,Cambridge
Rowes Wharf - Atlantic Ave,49,Boston
Washington St. at Lenox St.,17,Boston
JFK / UMASS Station,8,Boston
Dudley Square,6,Boston
South Bay Plaza,3,Boston
Boylston St / Washington St,34,Boston
Longwood Ave / Binney St,14,Boston
Ball Square,8,Somerville
University of Massachusetts Boston,5,Boston
