start_date,end_date,birth_date,gender,start_station_name,end_station_name,start_stn_municipality,end_stn_municipality
July-11,July-11,1976,Male,Mayor Thomas M. Menino - Government Center,Mayor Thomas M. Menino - Government Center,Boston,Boston
July-11,July-11,1966,Male,Mayor Thomas M. Menino - Government Center,Mayor Thomas M. Menino - Government Center,Boston,Boston
July-12,July-11,1943,Male,Mayor Thomas M. Menino - Government Center,Mayor Thomas M. Menino - Government Center,Boston,Boston
July-11,July-11,1981,Female,Mayor Thomas M. Menino - Government Center,Mayor Thomas M. Menino - Government Center,Boston,Boston
July-11,July-11,1983,Female,Mayor Thomas M. Menino - Government Center,Mayor Thomas M. Menino - Government Center,Boston,Boston
July-11,July-11,1951,Male,Mayor Thomas M. Menino - Government Center,Mayor Thomas M. Menino - Government Center,Boston,Boston
July-11,July-11,1971,Female,Mayor Thomas M. Menino - Government Center,Mayor Thomas M. Menino - Government Center,Boston,Boston
July-11,July-11,1971,Female,Mayor Thomas M. Menino - Government Center,Mayor Thomas M. Menino - Government Center,Boston,Boston
July-11,July-11,1983,Female,Mayor Thomas M. Menino - Government Center,Mayor Thomas M. Menino - Government Center,Boston,Boston
May-12,July-11,1994,Male,Cross St. at Hanover St.,Lewis Wharf - Atlantic Ave.,Boston,Boston
May-12,July-11,1956,Male,Cross St. at Hanover St.,Lewis Wharf - Atlantic Ave.,Boston,Boston
July-11,July-11,1959,Female,Cross St. at Hanover St.,Lewis Wharf - Atlantic Ave.,Boston,Boston
July-11,July-11,,,Lewis Wharf - Atlantic Ave.,Cross St. at Hanover St.,Boston,Boston
August-12,July-11,1982,Male,South Station - 700 Atlantic Ave.,South Station - 700 Atlantic Ave.,Boston,Boston
July-11,July-11,1944,Male,Lewis Wharf - Atlantic Ave.,Mayor Thomas M. Menino - Government Center,Boston,Boston
June-13,July-11,1960,Female,South Station - 700 Atlantic Ave.,South Station - 700 Atlantic Ave.,Boston,Boston
